Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Journal,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Series
,Yun S.-W.; Lee E.-Y.; Lee I.-G.,Selective Layered Blockchain Framework for Privacy-preserving Data Management in Low-latency Mobile Networks,2023.0,Scopus,,,,,,,10.53106/160792642023072404006,,,24,4,,,,,,,,"With the gradual development of Fourth Industrial Revolution technologies, such as artificial intelligence, the Internet of Things, and big data, and the considerable amount of data in mobile networks, low-latency communication and security management are becoming crucial. Blockchain is a data-distributed processing technology that tracks data records to support secure electronic money transactions and data security management in a peer-to-peer environment without the need of a central trusted authority. The data uploaded to the blockchain-shared ledger are immutable, making tracking integrity preservation facile. However, blockchain technology is limited because it is challenging to utilize in the industry owing to its inability to correct data, even when inaccurate data are uploaded. Accordingly, research on blockchain mechanisms that consider privacy-preserving data management is required to commercialize blockchain technology. Previously, off-chain, blacklist, and hard-fork methods have been proposed; however, their application is challenging or impractical. Therefore, to protect privacy, we propose a layered blockchain mechanism that can correct data by adding a buffer blockchain. We evaluated the latency, security, and space complexity of layered blockchains. The security and security-to-latency ratio for data management of the selective layered blockchain is 2.2 and 11.3 times higher than the conventional blockchains, respectively. The proposed selective layered blockchain is expected to promote the commercialization of blockchain technologies in various industries by protecting user privacy. © 2023 Taiwan Academic Network Management Committee. All rights reserved.",,,"Yun, Sun-Woo (57219942121); Lee, Eun-Young (57219940908); Lee, Il-Gu (14626426800)",57219942121; 57219940908; 14626426800,Journal of Internet Technology,,881.0,891.0,10.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168156834&doi=10.53106%2f160792642023072404006&partnerID=40&md5=f302e25dc80dc460e3f755d7892be192,Data correction; Data management; Layered blockchain; Privacy; Security,Blockchain; Mobile security; Mobile telecommunication systems; Network security; Privacy-preserving techniques; Wireless networks; Block-chain; Data corrections; Industrial revolutions; Layered blockchain; Low latency; Management IS; Privacy; Privacy preserving; Security; Security management; Information management,Article,Final,All Open Access; Bronze Open Access,2-s2.0-85168156834,,,,,,,,,,,,
,Gai K.; Tang H.; Li G.; Xie T.; Wang S.; Zhu L.; Choo K.-K.R.,Blockchain-Based Privacy-Preserving Positioning Data Sharing for IoT-Enabled Maritime Transportation Systems,2023.0,Scopus,,,,,,,10.1109/TITS.2022.3190487,,,24,2,,,,,,,,"Data-driven applications play an important role in modern-time maritime transportation systems, for instance in facilitating decision-making relating to communication and safety. One example application is position data sharing between vessels within the maritime Internet of Things (IoT)-enabled context. When designing such applications, we need to also consider how to ensure data accuracy as well as privacy in a large scale deployment. In this paper, we demonstrate the potential of using blockchain to facilitate privacy-preserving data sharing. Specifically, we develop a zero-knowledge proof-based scheme to protect vessel identities while allowing data sharing, and a commitment-based approach to ensure relationship-related privacy in data trading between participants. Our security and performance evaluations demonstrate the utility of the proposed approach. © 2000-2011 IEEE.",,,"Gai, Keke (36655735200); Tang, Haokun (57551149300); Li, Guangshun (56163654700); Xie, Tianxiu (57236202500); Wang, Shuo (57802442000); Zhu, Liehuang (7404201289); Choo, Kim-Kwang Raymond (57208540261)",36655735200; 57551149300; 56163654700; 57236202500; 57802442000; 7404201289; 57208540261,IEEE Transactions on Intelligent Transportation Systems,,2344.0,2358.0,14.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135735218&doi=10.1109%2fTITS.2022.3190487&partnerID=40&md5=921a7fc19fedea1e793d79c98b4548eb,Blockchain; Internet of Things; maritime transportation system; positioning error data sharing; privacy-preserving,Blockchain; Data privacy; Decision making; Internet of things; Block-chain; Data Sharing; Error data; Global Navigation Satellite Systems; Maritime transportation system; Positioning error; Positioning error data sharing; Privacy; Privacy preserving; Sensor systems; Smart contract,Article,Final,,2-s2.0-85135735218,,,,,,,,,,,,
,Liu Z.; Hu C.; Xia H.; Xiang T.; Wang B.; Chen J.,SPDTS: A Differential Privacy-Based Blockchain Scheme for Secure Power Data Trading,2022.0,Scopus,,,,,,,10.1109/TNSM.2022.3181814,,,19,4,,,,,,,,"Currently, the conventional mode of power data transaction is mediated by Web pages. Nevertheless, there are challenging issues such as privacy protection, transaction security and data reliability in power data trading. In this paper, we present a novel secure power data trading scheme (SPDTS). Firstly, the zero-knowledge proof is employed to achieve data availability and consistency without revealing the data. Then, SPDTS takes full advantage of the dispersibility and immutability of blockchain to ensure the reliability of data transactions. To keep the transaction process efficient, the processing tasks for power data are performed under smart contract. Meanwhile, a trusted execution environment (TEE) is adopted to guarantee the security of power data. Finally, we present a differential privacy scheme to safeguard the privacy information in the power data. Our study indicates that the proposed scheme can achieve privacy protection, transaction security and data reliability. Also, we conduct security analysis and verify the privacy protection property of the scheme in real cases.  © 2004-2012 IEEE.",,,"Liu, Zewei (57210196125); Hu, Chunqiang (55224734400); Xia, Hui (37012925800); Xiang, Tao (57213003210); Wang, Baolin (57761646800); Chen, Jiajun (57761646900)",57210196125; 55224734400; 37012925800; 57213003210; 57761646800; 57761646900,IEEE Transactions on Network and Service Management,,5196.0,5207.0,11.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132705345&doi=10.1109%2fTNSM.2022.3181814&partnerID=40&md5=eb2af269026bb2e4046c172f4197a8f8,blockchain; differential privacy; Power data transaction; security; zero-knowledge proof,Blockchain; Commerce; Data privacy; Reliability; Websites; Block-chain; Data transaction; Differential privacies; Power data; Power data transaction; Security; Zero-knowledge proofs; Smart contract,Article,Final,,2-s2.0-85132705345,,,,,,,,,,,,
,Zhang Y.; Wang X.; He X.; Zhang N.; Zheng Z.; Xu K.,Galaxy: A Scalable BFT and Privacy-Preserving Pub/Sub IoT Data Sharing Framework Based on Blockchain,2023.0,Scopus,,,,,,,10.1109/JIOT.2023.3307073,,,,,,,,,,,,"The emergence of the Internet of Things (IoT) technology in recent years has led to a considerable amount of data to be shared across different organizations. The publish and subscribe (Pub/Sub) paradigm, with its asynchronous, one-to-many and decoupling characteristics, is considered to be a promising communication model in IoT. However, designing a Pub/Sub framework for IoT data sharing confronts two challenges: Byzantine faults and privacy concerns. Byzantine nodes that are subjectively malicious or hacked by attackers may discard or forge data in the broker network composed of untrusted IoT organizations. Unauthorized brokers or clients may try to obtain the content of publications or subscriptions, thus violating the IoT data privacy. Existing works have limitations in terms of relatively low scalability and high overhead in tackling these two challenges. In this paper, we propose Galaxy, a blockchain based Pub/Sub IoT data sharing framework. To achieve Byzantine fault-tolerant (BFT) Pub/Sub, Galaxy adopts sharding to improve scalability and achieve efficient BFT Pub/Sub workflow within each shard with a novel leader rotation scheme. In attaining privacy-preserving Pub/Sub, a secret key sharing and encrypted Pub/Sub scheme is designed in Galaxy to achieve low overhead without breaking the decoupling of the system. We implemented a prototype of Galaxy and deployed it on Alibaba Cloud for experimental evaluation. The experiment results show the feasibility and efficiency of Galaxy. IEEE",,,"Zhang, Yuchao (56784369900); Wang, Xiaotian (58036450000); He, Xiaofeng (58036450100); Zhang, Ning (58264650300); Zheng, Zibin (58077637300); Xu, Ke (57204699355)",56784369900; 58036450000; 58036450100; 58264650300; 58077637300; 57204699355,IEEE Internet of Things Journal,,1.0,1.0,0.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168746002&doi=10.1109%2fJIOT.2023.3307073&partnerID=40&md5=c178b9f2a50458e94fbe3f90e1244b52,Blockchain; Blockchains; Encryption; Fault tolerance; Fault tolerant systems; Internet of Things; Internet of Things(IoT); IoT Data Sharing; Organizations; Privacy; Secure Communications; Security and Privacy,,Article,Article in press,,2-s2.0-85168746002,,,,,,,,,,,,
,Jiang S.; Liu J.; Chen J.; Liu Y.; Wang L.; Zhou Y.,Query Integrity Meets Blockchain: A Privacy-Preserving Verification Framework for Outsourced Encrypted Data,2023.0,Scopus,,,,,,,10.1109/TSC.2022.3199111,,,16,3,,,,,,,,"Cloud outsourcing provides flexible storage and computation services for data users in a low cost, but it brings many security threats as the cloud server may not be fully trusted. Previous secure outsourcing solutions mostly assume that the server is honest-but-curious while the adversary model of a malicious server that may return incorrect results is rarely explored. Moreover, with the increasing popularity of verifiable computations, existing verification schemes are yet not efficient and cannot cater to different scenarios in practice. In this paper, we propose a blockchain-based verifiable search framework for the adversarial cloud outsourcing context. When outsourcing the encrypted data to the cloud or Interplanetary File System (IPFS), we also store the encrypted data index in a decentralized blockchain (i.e., Ethereum in this paper) which is public and cannot be modified. Once a user is authorized, he/she can flexibly obtain the query results and efficiently check the query integrity via the pre-deployed smart contract, without the need of the data owner being online. Moreover, for user's privacy protection, we construct a stealth authorization scheme to deliver the access authorization without any identity disclosure. Finally, theoretical analysis and performance evaluation validate the security and efficiency of our proposed framework.  © 2008-2012 IEEE.",,,"Jiang, Shunrong (51461604500); Liu, Jianqing (55851826800); Chen, Jingwei (57344609700); Liu, Yiliang (56078222800); Wang, Liangmin (57267645800); Zhou, Yong (35480110700)",51461604500; 55851826800; 57344609700; 56078222800; 57267645800; 35480110700,IEEE Transactions on Services Computing,,2100.0,2113.0,13.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136840544&doi=10.1109%2fTSC.2022.3199111&partnerID=40&md5=9b7bba1acb20cf5225dbbff5f3dd0aaf,access authorization; blockchain; Outsourced encryption; privacy protection; query integrity,Blockchain; Cloud storage; Outsourcing; Privacy-preserving techniques; Access authorization; Block-chain; Cloud-computing; Encrypted data; Index; Outsourced encryption; Privacy preserving; Privacy protection; Query integrity; Authorization,Article,Final,,2-s2.0-85136840544,,,,,,,,,,,,
,Qi Y.; Luo Y.; Huang Y.; Li X.,Blockchain-Based Privacy-Preserving Public Auditing for Group Shared Data,2023.0,Scopus,,,,,,,10.32604/iasc.2023.030191,,,35,3,,,,,,,,"Cloud storage has been widely used to team work or cooperation development. Data owners set up groups, generating and uploading their data to cloud storage, while other users in the groups download and make use of it, which is called group data sharing. As all kinds of cloud service, data group sharing also suffers from hardware/software failures and human errors. Provable Data Possession (PDP) schemes are proposed to check the integrity of data stored in cloud without downloading. However, there are still some unmet needs lying in auditing group shared data. Researchers propose four issues necessary for a secure group shared data auditing: public verification, identity privacy, collusion attack resistance and traceability. However, none of the published work has succeeded in achieving all of these properties so far. In this paper, we propose a novel blockchain-based ring signature PDP scheme for group shared data, with an instance deployed on a cloud server. We design a linkable ring signature method called Linkable Homomorphic Authenticable Ring Signature (LHARS) to implement public anonymous auditing for group data. We also build smart contracts to resist collusion attack in group auditing. The security analysis and performance evaluation prove that our scheme is both secure and efficient. © 2023, Tech Science Press. All rights reserved.",,,"Qi, Yining (57193385635); Luo, Yubo (58258952600); Huang, Yongfeng (14627673100); Li, Xing (16679176300)",57193385635; 58258952600; 14627673100; 16679176300,Intelligent Automation and Soft Computing,,2603.0,2618.0,15.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137327307&doi=10.32604%2fiasc.2023.030191&partnerID=40&md5=1c2be16ddc0583578037667806ec8a8e,blockchain; data integrity; Provable data possession; ring signature,,Article,Final,All Open Access; Hybrid Gold Open Access,2-s2.0-85137327307,,,,,,,,,,,,
,Liu Y.; Liu P.; Jing W.; Song H.H.,PD2S: A Privacy-Preserving Differentiated Data Sharing Scheme based on Blockchain and Federated Learning,2023.0,Scopus,,,,,,,10.1109/JIOT.2023.3295763,,,,,,,,,,,,"With the rapid development of the Internet of things(IoT), massive terminals and emerging applications bring a large amount of data. As an essential prerequisite for mining potential value from these data, data sharing is crucial and getting more and more attention. However, security and privacy concerns, and the lack of effective incentive mechanisms in the decentralized environment hinder the data owners from sharing their data. In this paper, we propose a federated learning and blockchain based privacy-preserving data sharing system, which solve the privacy leakage problem of federated learning and the scalability problem of blockchain by their technical complementarity. Considering the resource shortage and the heterogeneity of terminals, we first design a cross-layer architecture by exploiting the cloud-edge-terminal collaboration, and innovatively propose differential data sharing by dividing the providers into origin data providers and model providers. Then, we design a targeted incentive mechanism to maximize the utility of requesters and two types of data providers by formulating it into a two-stage Stackelberg game. Finally, a gradient-based algorithm is designed to get the optimal solution. Theoretical analysis and numerical simulations show that the proposed data-sharing system could eliminate privacy concerns and motivate more participants to share data. With 500 nodes, DASC is 1.72 seconds faster than SMC and 2.59 seconds faster than SDC. In terms of utility of requster, DASC is 2.0&#x00D7;103 higher than SDC, and 9.27 higher than SMC in average utility of providers. IEEE",,,"Liu, Yuan (58397707500); Liu, Peng (57221089685); Jing, Weipeng (26641216600); Song, Houbing Herbert (57199094588)",58397707500; 57221089685; 26641216600; 57199094588,IEEE Internet of Things Journal,,1.0,1.0,0.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164807919&doi=10.1109%2fJIOT.2023.3295763&partnerID=40&md5=661744769d1487ce490c17036abe5d61,Blockchain; Blockchains; Data models; Data privacy; Data Sharing; Federated learning; Federated Learning; Privacy; Security; Training,Internet of things; Learning systems; Privacy-preserving techniques; Block-chain; Data Sharing; Federated learning; Incentive mechanism; Privacy; Privacy concerns; Privacy preserving; Security; Blockchain,Article,Article in press,,2-s2.0-85164807919,,,,,,,,,,,,
,Bao Z.; He D.; Wang H.; Luo M.; Peng C.,BAP: A Blockchain-Assisted Privacy-Preserving Authentication Protocol With User-Controlled Data Linkability for VANETs,2023.0,Scopus,,,,,,,10.1109/TIV.2023.3307699,,,,,,,,,,,,"With the proliferation of vehicular networking and data in the era of Vehicular Ad-hoc Networks (VANETs), ensuring privacy-preserving authentication and data privacy during analysis has emerged as a pivotal research focus. In this paper, we propose a blockchain-assisted privacy-preserving authentication protocol&#x00A0;<sc>Bap</sc>&#x00A0;with user-controlled data unlinkability for VANETs. We leverage Pointcheval-Sanders (PS) signatures to design a privacy-preserving authentication protocol that supports user traceability and revocation of malicious users. Additionally, we introduce an auxiliary data processor (DP) in our model to analyze VANET data with explicit and implicit linkability. The DP is capable of linking messages on the same or different topics, enabling minimal privacy disclosure during Big Data analysis. We provide a detailed proof and demonstrate that our scheme satisfies the required properties. Finally, performance evaluations demonstrate the efficiency of our proposed scheme. While supporting the mentioned functionalities, the gas cost is limited to a small range, and the signature size is only 354 bytes. IEEE",,,"Bao, Zijian (57194702343); He, Debiao (35603655700); Wang, Huaqun (24833714700); Luo, Min (36644291700); Peng, Cong (56452126500)",57194702343; 35603655700; 24833714700; 36644291700; 56452126500,IEEE Transactions on Intelligent Vehicles,,1.0,16.0,15.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168688255&doi=10.1109%2fTIV.2023.3307699&partnerID=40&md5=6d7e1989456ec9f147f64146d1f0083f,Authentication; Authentication; Blockchain; Blockchains; Data Linkability; Data privacy; Electronic mail; Privacy-Preserving; Security; Smart contracts; Vehicular ad hoc networks,Big data; Blockchain; Network protocols; Network security; Privacy-preserving techniques; Vehicular ad hoc networks; Authentication protocols; Block-chain; Data linkability; Data processors; Linkability; Privacy preserving; Privacy-preserving authentication; Security; Vehicular Adhoc Networks (VANETs); Authentication,Article,Article in press,,2-s2.0-85168688255,,,,,,,,,,,,
,Li Q.; Gong B.; Zhu Y.; Cai R.; Kong X.,Research on Decentralized Federated Learning System for Vehicle Data Privacy Protection Based on Blockchain,2023.0,Scopus,,,,,,,10.1109/ICIPCA59209.2023.10257765,,,,,,,,,,,,"This paper proposes an edge computing vehicle data privacy protection method based on blockchain and federated learning. Using blockchain to give edge computing tamper-proof and anti-single point of failure attacks and other characteristics. Integrate gradient verification and incentive mechanism into consensus protocol. By constructing master-slave chain architecture among vehicles, roadside units and base stations, distributed model security sharing is realized. An asynchronous federated learning algorithm based on incentive mechanism is proposed to motivate vehicles and roadside units to participate in the optimization process. The framework is verified on real locus data sets. LSTM self-coding is used as embedded learning network. The prototype of the proposed architecture is implemented in the experiment, and its feasibility, accuracy and performance are evaluated. The results show that this method maintains the integrity of data and has good prediction accuracy and performance.  © 2023 IEEE.",,,"Li, Qiong (57228174600); Gong, Bin (57575963100); Zhu, Yizhao (58548737600); Cai, Rongsheng (58653861200); Kong, Xiangqian (58653508000)",57228174600; 57575963100; 58548737600; 58653861200; 58653508000,"2023 IEEE International Conference on Image Processing and Computer Applications, ICIPCA 2023",,320.0,324.0,4.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174405431&doi=10.1109%2fICIPCA59209.2023.10257765&partnerID=40&md5=01e3795eca28d5cc50cccde3b7c6ef2e,Blockchain; Decentralization; Federated learning system; Privacy protection; Vehicle data,Data privacy; Edge computing; Learning algorithms; Learning systems; Long short-term memory; Network architecture; Roadsides; Vehicles; Block-chain; Data privacy protections; Decentralisation; Decentralised; Edge computing; Federated learning system; Incentive mechanism; Privacy protection; Roadside units; Vehicle data; Blockchain,Conference paper,Final,,2-s2.0-85174405431,,,,,,,,,,,,
,Li T.,Research on Blockchain Construction in Medical Data Privacy Protection,2023.0,Scopus,,,,,,,10.1117/12.2661046,,,12462,,,,,,,,,"At the present stage, the informatization and intellectualization of the medical industry have greatly increased people's attention and developed medical informatization, but there are still problems such as inconsistent data and ineffective protection of patients' privacy. In terms of privacy protection of medical data storage and sharing, this paper first uses CiteSpace visual knowledge map analysis to learn the current research hotspots in the field of medical informatization. This paper is to the problems of access barriers and information sharing and circulation among medical institutions, and protect patients' privacy data. Therefore, this paper designs a medical data privacy protection scheme based on the blockchain technology. Through the analysis of the practice results, it is verified that this scheme can achieve safe and reliable storage and sharing under the premise of effective protection of the patient's medical data privacy. © The Authors. Published under a Creative Commons Attribution CC-BY 3.0 License.",,,"Li, Tianhui (58249311000)",58249311000,Proceedings of SPIE - The International Society for Optical Engineering,124621B,,,,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159295577&doi=10.1117%2f12.2661046&partnerID=40&md5=e035b3a7b04a8fd90dfdca0ac2010abf,Blockchain; Information circulation; Information sharing; Medical data sharing; Medical data storage; Privacy protection,Blockchain; Data privacy; Information analysis; Information dissemination; Medical problems; Block-chain; Data Sharing; Data storage; Information circulation; Information sharing; Medical data; Medical data sharing; Medical data storage; Privacy protection; Digital storage,Conference paper,Final,All Open Access; Bronze Open Access,2-s2.0-85159295577,,,,,,,,,,,,
,Pandey A.K.; Saxena R.; Awasthi A.; Sunil M.P.,Privacy preserved data sharing using blockchain and support vector machine for industrial IOT applications,2023.0,Scopus,,,,,,,10.1016/j.measen.2023.100891,,,29,,,,,,,,,"The Industrial Internet of Things (IIoT) paradigm's fast expansion in the amount of information created from linked devices creates new opportunities for improving the service quality and applications through sharing of data. Data security is a significant problem since training and Support Vector Machine (SVM) classifier often involves compiling tagged IoT data from several organizations. Beyond causing the suppliers to lose money, disclosing sensitive information might cause significant problems. To solve these issues, introduced a secure SVM, which is a Privacy-Preserving SVM (PP-SVM) training method using block chain-based encoded IoT data, to fill the void between ideal assumptions and practical restrictions. IoT messages are encrypted before being stored on a decentralized system because Block chain offers safe and dependable data exchange platforms across several data sources. Using a homomorphic cryptographic algorithm, Paillier, reliable modules have been developed, such as protected algebraic multiplying and protected comparison. Furthermore, a protected SVM learning algorithm that only needs two conversations during a single step has been created. According to stringent security assessment, proposed approach guarantees SVM model parameters for data professionals and secrecy of sensitive information for each data source. Extensive testing backs up effectiveness of the suggested plan. © 2023",,,"Pandey, Arvind Kumar (35189344700); Saxena, Rini (57392583400); Awasthi, Aishwary (57217179278); Sunil, M.P. (57053070200)",35189344700; 57392583400; 57217179278; 57053070200,Measurement: Sensors,100891,,,,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170435383&doi=10.1016%2fj.measen.2023.100891&partnerID=40&md5=2af2a82ef4a25f7ee63e68816ddfbb9f,Block chain; Data security; Data sharing; Industrial IoT; Machine learning; Privacy; Support vector machine,Blockchain; Electronic data interchange; Internet of things; Learning algorithms; Privacy-preserving techniques; Sensitive data; Amount of information; Block-chain; Data Sharing; Data-source; Industrial IoT; IOT applications; Machine-learning; Privacy; Sensitive informations; Support vectors machine; Support vector machines,Article,Final,All Open Access; Gold Open Access,2-s2.0-85170435383,,,,,,,,,,,,
,Guo S.; Zhang F.; Guo S.; Xu S.; Qi F.,Blockchain-Assisted Privacy-Preserving Data Computing Architecture for Web3,2023.0,Scopus,,,,,,,10.1109/MCOM.001.2200408,,,61,8,,,,,,,,"Web3 has received a lot of attention since its emergence. It aims to provide users with more diverse and vivid web services as well as the complete control over their own data. To support the development of Web3, privacy-preserving decentralized data computing schemes need to be studied. In earlier works, blockchain was used for trusted data sharing. However, due to the lack of computing attribute, blockchain is not capable enough to ensure the trustworthiness of the distributed computing process. Besides, the distributed computing method requires a large amount of data transmission and the current privacy protection researches seldom consider the problem of user privacy. In this article, we design a blockchain-assisted privacy-preserving distributed data computing architecture to break-through the limitations of existing researches. The proposed architecture ensures the secure and trustworthy computing with state channel and computing sandbox. We also design a sandbox location obfuscation method based on onion routing technology, making it difficult for attackers to identify the sandbox location or infer user privacy. Our solution fully considers the characteristics of Web3 and can well support the diverse Web3 applications.  © 1979-2012 IEEE.",,,"Guo, Shaoyong (36182369500); Zhang, Fan (57355289100); Guo, Song (58594251100); Xu, Siya (56783318200); Qi, Feng (57203571816)",36182369500; 57355289100; 58594251100; 56783318200; 57203571816,IEEE Communications Magazine,,28.0,34.0,6.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169617795&doi=10.1109%2fMCOM.001.2200408&partnerID=40&md5=b27c0cfbcce9e4e31eaa5e2431b545e9,,Computer architecture; Data obfuscation; Distributed computer systems; Privacy-preserving techniques; Web services; Block-chain; Complete control; Computing architecture; Computing process; Computing scheme; Data Sharing; Decentralised; Privacy preserving; User privacy; Webs services; Blockchain,Article,Final,,2-s2.0-85169617795,,,,,,,,,,,,
,Guan X.-Q.; Hsieh Y.-H.; Yuan S.-M.,Blockchain-Based Privacy Preserved Physiological Data Sharing Platform,2023.0,Scopus,,,,,,,10.1109/ECBIOS57802.2023.10218560,,,,,,,,,,,,"Wearable devices have significantly impacted precision medicine by providing real-time physiological and behavioral data. This data is crucial for accurate disease diagnosis, monitoring, and improved treatment outcomes. Wearable devices enable personalized health management and prevention programs, particularly being beneficial for chronic disease management. Overall, these devices offer more data and technical support for precision medicine, leading to better-individualized health management and treatment and ultimately improving medical outcomes and quality of life. However, the current device binding requires direct identifiers and grants manufacturers ownership of the generated data, limiting user control and raising privacy concerns. To address this, we propose a blockchain-based platform with two distinct blockchains: decentralized identity and physiological data. Users register decentralized identities on the first blockchain, which are then used for device binding on the second blockchain, enabling de-identified data collection. The platform generates user-specific smart contracts on the Physiological Data blockchain and ensures complete user control over data access. This system enhances the privacy, security, and credibility of users' physiological data, instilling confidence in the use of wearable devices. © 2023 IEEE.",,,"Guan, Xue-Qin (57536245900); Hsieh, Yu-Heng (58519996000); Yuan, Shyan-Ming (58609494400)",57536245900; 58519996000; 58609494400,"2023 IEEE 5th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability, ECBIOS 2023",,136.0,139.0,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171795505&doi=10.1109%2fECBIOS57802.2023.10218560&partnerID=40&md5=c081b494046ce4a2b8ed2b6a7808d6ce,blockchain; precision medicine; wearable device,Access control; Data privacy; Diagnosis; Diseases; Physiology; Wearable technology; Behavioral data; Block-chain; Data-sharing platforms; Decentralised; Disease diagnosis; Health management; Physiological data; Real- time; User control; Wearable devices; Blockchain,Conference paper,Final,,2-s2.0-85171795505,,,,,,,,,,,,
,Rossi A.; Natalini A.; Cristofori L.; Mammina M.,A tool for the data notarization with the Blockchain to ensure security and privacy,2023.0,Scopus,,,,,,,10.1109/MetroLivEnv56897.2023.10164060,,,,,,,,,,,,"This paper will describe a trustworthy blockchain-based framework to ensure secure, immutable and pseudo anonymized data collection at field level. This paper will describe the context in which the framework is being conceived and developed, starting from the analysis of the state of the art of DLT (Distributed Ledger Technology) and Blockchain, to highlight the potential uses cases in terms of data management, in particular. A specific focus will be given to the FIWARE framework, since the final objective is the creation of a tool for data gathering, as a FIWARE context broker extension. The core of the tool will be the two smart contracts implementing the PoE (Proof of Existence) and the RT-MDN (Reat Time-Monitoring Data Notarization). The smart contracts will be used for the certification of single documents and bulk of monitoring data, respectively. The second case is characterized by a periodicity of production and represent the most innovative part of the work. A first PoC (Proof of Concept) will be implemented, and first early results will be presented as well. The work is being developed in the framework of the EU co-funded 'DigiBUILD' project. © 2023 IEEE.",,,"Rossi, Alessandro (56510307500); Natalini, Andrea (58499008200); Cristofori, Lorenzo (57398363900); Mammina, Marzia (57192423009)",56510307500; 58499008200; 57398363900; 57192423009,"2023 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2023 - Proceedings",,85.0,90.0,5.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165417176&doi=10.1109%2fMetroLivEnv56897.2023.10164060&partnerID=40&md5=0c0568de00a605dac049556de6818b54,Blockchain; data certification; FIWARE; notarization; Proof-of-Existence,Distributed ledger; Information management; Smart contract; Block-chain; Data certification; Data collection; Field level; Final objective; FIWARE; Notarization; Proof-of-existence; Security and privacy; State of the art; Blockchain,Conference paper,Final,,2-s2.0-85165417176,,,,,,,,,,,,
,Qi Y.; Luo Y.; Huang Y.; Li X.,Blockchain-based Privacy-Preserving Group Data Auditing with Secure User Revocation,2023.0,Scopus,,,,,,,10.32604/csse.2023.031030,,,45,1,,,,,,,,"Progress in cloud computing makes group data sharing in outsourced storage a reality. People join in group and share data with each other, making team work more convenient. This new application scenario also faces data security threats, even more complex. When a user quit its group, remaining data block signatures must be re-signed to ensure security. Some researchers noticed this problem and proposed a few works to relieve computing overhead on user side. However, considering the privacy and security need of group auditing, there still lacks a comprehensive solution to implement secure group user revocation, supporting identity privacy preserving and collusion attack resistance. Aiming at this target, we construct a concrete scheme based on ring signature and smart contracts. We introduce linkable ring signature to build a kind of novel meta data for integrity proof enabling anonymous verification. And the new meta data supports secure revocation. Meanwhile, smart contracts are using for resisting possible collusion attack and malicious re-signing computation. Under the combined effectiveness of both signature method and blockchain smart contracts, our proposal supports reliable user revocation and signature re-signing, without revealing any user identity in the whole process. Security and performance analysis compared with previous works prove that the proposed scheme is feasible and efficient. © 2023 CRL Publishing. All rights reserved.",,,"Qi, Yining (57193385635); Luo, Yubo (58258952600); Huang, Yongfeng (14627673100); Li, Xing (16679176300)",57193385635; 58258952600; 14627673100; 16679176300,Computer Systems Science and Engineering,,183.0,199.0,16.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136558481&doi=10.32604%2fcsse.2023.031030&partnerID=40&md5=783c0b2644ad2e3eac0a381c0c7def73,blockchain; data integrity; Provable data possession; ring signature,Authentication; Blockchain; Digital storage; Metadata; Network security; Privacy-preserving techniques; Block-chain; Cloud-computing; Collusion attack; Data auditing; Data integrity; Meta-data; Privacy preserving; Provable data possessions; Ring signatures; User revocation; Smart contract,Article,Final,All Open Access; Hybrid Gold Open Access,2-s2.0-85136558481,,,,,,,,,,,,
