Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Fan S., Zhang H., Wang Z., Cai W.","Mobile Devices Strategies in Blockchain-based Federated Learning: A Dynamic Game Perspective",2022,"IEEE Transactions on Network Science and Engineering",3,"10.1109/TNSE.2022.3163791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127797671&doi=10.1109%2fTNSE.2022.3163791&partnerID=40&md5=ead53190d75e67fbe9b2ea92d99ceb4a","Leveraging various mobile devices to train the shared model collaboratively, federated learning (FL) can improve the privacy and security of 6G communication. To economically encourage the participation of heterogeneous mobile devices, an incentive mechanism and a fair trading platform are needed. In this paper, we implement a blockchain-based FL system and propose an incentive mechanism to establish a decentralized and transparent trading platform. Moreover, to better understand the mobile devices' behaviors, we provide economic analysis for this market. Specifically, we propose two strategy models of mobile devices, namely the discrete strategy model (DSM) and the continuous strategy model (CSM). Also, we formulate the interactions among the non-cooperative mobile devices as a dynamic game, where they adjust their strategies iteratively to maximize the individual payoff based on others' previous strategies. We further prove the existence of Nash equilibrium (NE) of two different models and propose algorithms to achieve them. Simulation results demonstrate the convergence of the proposed algorithms and show that the CSM can effectively increase the mobile devices' payoffs to 128.1 percent at most compared with DSM. IEEE","blockchain; Blockchains; dynamic game; Federated learning; Games; Mobile handsets; Nash equilibrium; Privacy; Smart contracts; Task analysis; Training","Blockchain; Commerce; Computation theory; Data privacy; Economic analysis; Game theory; Iterative methods; Mobile telecommunication systems; Block-chain; Dynamic game; Federated learning; Game; Mobile handsets; Nash equilibria; Privacy; Strategy modeling; Task analysis; Smart contract",Article,"Article in Press","",Scopus,2-s2.0-85127797671
"Chen H., Chen N., Liu H., Zhang H., Xu J., Chen H., Li Y.","RepBFL: Reputation Based Blockchain-Enabled Federated Learning Framework for Data Sharing in Internet of Vehicles",2022,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",,"10.1007/978-3-030-96772-7_50","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127710010&doi=10.1007%2f978-3-030-96772-7_50&partnerID=40&md5=dac40e5420d2d07ac9cc4330d0378d10","Internet of Vehicles (IoV) enables the integration of smart vehicles with Internet and collaborative analysis from shared data among vehicles. Machine learning technologies show significant advantages and efficiency for data analysis in IoV. However, the user data could be sensitive in nature, and the reliability and efficiency of sharing these data is hard to guarantee. Moreover, due to the intermittent and unreliable communications of various distributed vehicles, the traditional machine learning algorithms are not suitable for heterogeneous IoV network. In this paper, we propose a novel reputation mechanism framework that integrates the IoV with blockchain and federated learning named RepBFL. In this framework, blockchain is used to protect the shared data between the vehicles. The Road Side Units (RSU) select the high reputation vehicular nodes to share their data for federated learning. To enhance the security and reliability of the data sharing process, we develop the reputation calculated mechanism to evaluate the reliability of all vehicles in IoV. The proposed framework is feasible for the large heterogeneous vehicular networks and perform the collaborative data analysis in distributed vehicles. The experimental results show that the proposed approach can improve the data sharing efficiency. Furthermore, the reputation mechanism is able to deal with malicious behaviors effectively. © 2022, Springer Nature Switzerland AG.","Blockchain; Data sharing; Federated learning; Internet of Vehicles; Reputation mechanism","Blockchain; Efficiency; Learning algorithms; Machine learning; Reliability analysis; Vehicle to vehicle communications; Block-chain; Collaborative analysis; Data Sharing; Federated learning; Internet of vehicle; Learning frameworks; Machine learning technology; Reputation mechanism; Shared data; Smart vehicles; Vehicles",Conference Paper,"Final","",Scopus,2-s2.0-85127710010
"Patel V.A., Bhattacharya P., Tanwar S., Jadav N.K., Gupta R.","BFLEdge: Blockchain based federated edge learning scheme in V2X underlying 6G communications",2022,"Proceedings of the Confluence 2022 - 12th International Conference on Cloud Computing, Data Science and Engineering",4,"10.1109/Confluence52989.2022.9734213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127595820&doi=10.1109%2fConfluence52989.2022.9734213&partnerID=40&md5=43f5f69b149ad3bd6f683cb96ca691f8","Sixth generation (6G) vehicle-to-anything (V2X) networks support intelligent edge computing that leverages data sensing, computation, and offloading among vehicular nodes (VN) with ultra-low latency. Data is heterogeneous with high complex interactions among V2X users and pass via open channels that induce privacy and security concerns. Thus, federated learning (FL) protects user privacy and fine-tunes the learning models at resource-constrained edge nodes to address security and computational concerns at the edge. However, to ensure reliability and trust, we propose a block-chain (BC) and FL-based edge scheme, BFLEdge. It also improves the overall learning rate of the FL model. The proposed scheme consists of three phases, where the first phase uses local machine learning (LML) to model the VN data and store it into the local BC network. The LML block updates are verified in the second phase through a proposed distributed consensus mechanism. Lastly, through 6G communication services, the channel dynamics are modelled as a Markov chain process to reduce end-to-end delay of local BC propagation updates at the edge that improves the V2X system throughput. Simulation and analytical results are proposed based on channel loss, block mining rate, edge latency, and FL-learning rate. The obtained results indicate the viability of the proposed framework against conventional state-of-the-art approaches. © 2022 IEEE.","6G; Block-Chain; Edge; Federated Learning; Vehicle-to-anything","Learning algorithms; Learning systems; Markov processes; Vehicle to Everything; Vehicle to vehicle communications; Vehicles; 6g; Block-chain; Edge; Edge computing; Federated learning; Learning models; Learning rates; Learning schemes; Network support; Vehicle-to-anything; Blockchain",Conference Paper,"Final","",Scopus,2-s2.0-85127595820
"Aich S., Sinai N.K., Kumar S., Ali M., Choi Y.R., Joo M.-I., Kim H.-C.","Protecting Personal Healthcare Record Using Blockchain Federated Learning Technologies",2022,"International Conference on Advanced Communication Technology, ICACT",4,"10.23919/ICACT53585.2022.9728772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127512065&doi=10.23919%2fICACT53585.2022.9728772&partnerID=40&md5=b66a118b425d95b07487ec7e72df2dad","For decades artificial intelligence (AI) has been used for various applications in the healthcare industry. Machine learning and artificial intelligence algorithms allow us to diagnose and customize medical care and follow-up plans to get better results, and during the covid19 pandemic, it was found that AI models have been using to predict the Covid-19 symptoms, understanding how it spreads, speeding up research and treatment using medical data. However, it is very challenging to make a robust AI model and use it in a real-time and real-world environment since most organizations do not want to share their data with other third parties due to privacy concerns, furthermore, it is difficult to build a generalized prediction model because of the fragmented nature of the patient data across the healthcare system. To solve the above problems, this paper presents a solution based on blockchain and AI technologies. The blockchain will securely protect the data access and AI-based federated learning for building a robust model for global and real-time usage. © 2022 Global IT Research Institute-GiRI.","Artificial intelligence; blockchain; federated learning; pandemic; privacy","Data privacy; Health care; Hospital data processing; Machine learning; Block-chain; Federated learning; Healthcare industry; Healthcare record; Intelligence models; Learning technology; Pandemic; Personal health care; Privacy; Real- time; Blockchain",Conference Paper,"Final","",Scopus,2-s2.0-85127512065
"Haque R.U., Hasan A.S.M.T., Daria A., Qu Q., Jiang Q.","Towards Convergence of Blockchain and Self-sovereign Identity for Privacy-Preserving Secure Federated Learning",2022,"Communications in Computer and Information Science",,"10.1007/978-981-19-0852-1_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127086369&doi=10.1007%2f978-981-19-0852-1_19&partnerID=40&md5=c62ca84a6fe3d52d9f88ecd31561a51f","More and more researchers are eager to train their Machine Learning (ML) model by the distributed dataset in a federated manner. However, there are numerous privacy and security concerns in federated learning, i.e., adversarial attacks, authentication, and model inversion attacks. In this paper, we integrate self-sovereign identity for privacy-preserving secure federated learning. The proposed framework represents identity management and authentication scheme for edge devices, which are participated in FL. It guarantees participants’ privacy, where users’ private data are not shared with the centralized training module. The trust triangle and Blockchain ensure the authenticity of the distributed federated learning, where data privacy is handled with Differential Privacy. Result analysis is done based on measured score and time complexity. In terms of accuracy, BCWD, HDD, and DD achieve 94.69 %, 81.05 % and 78.00 %, respectively on standard ML, whereas 94.45 %, 80.59 % and 76.43 % on ϵ DP-based FL with privacy budget, ϵ = 3. For the time complexity measurement, the total number of transactions employed in the system is 1000. Transactions time and their verification took 3323.15 s. Moreover, the proposed system shows robust performance in both cases. © 2022, Springer Nature Singapore Pte Ltd.","Blockchain; Differential privacy; Federated learning; Privacy; Self-sovereign identity (SSI)","Authentication; Budget control; Learning systems; Privacy-preserving techniques; Block-chain; Differential privacies; Federated learning; Machine learning models; Model inversion; Privacy; Privacy and security; Privacy preserving; Self-sovereign identity; Time complexity; Blockchain",Conference Paper,"Final","",Scopus,2-s2.0-85127086369
"Saraswat D., Verma A., Bhattacharya P., Tanwar S., Sharma G., Bokoro P.N., Sharma R.","Blockchain-Based Federated Learning in UAVs Beyond 5G Networks: A Solution Taxonomy and Future Directions",2022,"IEEE Access",10,"10.1109/ACCESS.2022.3161132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127024716&doi=10.1109%2fACCESS.2022.3161132&partnerID=40&md5=e7e05f2711c0dadae61c099057a53f8c","Recently, unmanned aerial vehicles (UAVs) have gained attention due to increased use-cases in healthcare, monitoring, surveillance, and logistics operations. UAVs mainly communicate with mobile base stations, ground stations (GS), or networked peer UAVs, known as UAV swarms. UAVs communicate with GS, or UAV swarms, over wireless channels to support mission-critical operations. Communication latency, bandwidth, and precision are of prime importance in such operations. With the rise of data-driven applications, fifth-generation (5G) networks would face bottlenecks to communicate at near-real-time, at low latency and improved coverage. Thus, researchers have shifted towards network designs that incorporate beyond 5G (B5G) networks for UAV designs. However, UAVs are resource-constrained, with limited power and battery, and thus centralized cloud-centric models are not suitable. Moreover, as exchanged data is through open channels, privacy and security issues exist. Federated learning (FL) allows data to be trained on local nodes, preserving privacy and improving network communication. However, sharing of local updates is required through a trusted consensus mechanism. Thus, blockchain (BC)-based FL schemes for UAVs allow trusted exchange of FL updates among UAV swarms and GS. To date, limited research has been carried out on the integration of BC and FL in UAV management. The proposed survey addresses the gap and presents a solution taxonomy of BC-based FL in UAVs for B5G networks due to the open problem. This paper presents a reference architecture and compares its potential benefits over traditional BC-based UAV networks. Open issues and challenges are discussed, with possible future directions. Finally, a logistics case study of BC-based FL-oriented UAVs in 6G networks is presented. The survey aims to aid researchers in developing potential UAV solutions with the key integrating principles over a diverse set of application verticals. © 2013 IEEE.","6G; Beyond 5G networks; blockchain; federated learning; unmanned aerial vehicles","Antennas; Data privacy; Drones; Mobile security; Queueing networks; Surveys; Taxonomies; 6g; Beyond 5g network; Block-chain; Computational modelling; Federated learning; Ground stations; Health care operations; Healthcare monitoring; Security; Surveillance operations; 5G mobile communication systems",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85127024716
"Lv P., Xie L., Xu J., Li T.","Misbehavior Detection in VANET Based on Federated Learning and Blockchain",2022,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",1,"10.1007/978-3-030-95391-1_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126211554&doi=10.1007%2f978-3-030-95391-1_4&partnerID=40&md5=6acac508d76014ccc0c8ed468db2fe68","As an irreversible trend, connected vehicles become increasingly more popular. They depend on the generation and sharing of data between vehicles to improve safety and efficiency of the transportation system. However, due to the open nature of the vehicle network, dishonest and misbehaving vehicles may exist in the vehicular network. Misbehavior detection has been studied using machine learning in recent years. Existing misbehavior detection approaches require network equipment with powerful computing capabilities to constantly train and update sophisticated network models, which reduces the efficiency of the misbehavior detection system due to limited resources and untimely model updates. In this paper, we propose a new federated learning scheme based on blockchain, which can reduce resource utilization while ensuring data security and privacy. Further, we also design a blockchain-based reward mechanism for participants by automatically executing smart contracts. Common data falsification attacks are studied in this paper, and the experimental results show that our proposed scheme is feasible and effective. © 2022, Springer Nature Switzerland AG.","Blockchain; Federated learning; Misbehavior detection; Smart contract; VANET","Efficiency; Learning systems; Vehicles; Block-chain; Detection approach; Federated learning; Misbehavior detection; Network equipment; Safety and efficiencies; Transportation system; VANET; Vehicle network; Vehicular networks; Smart contract",Conference Paper,"Final","",Scopus,2-s2.0-85126211554
"Liu W., Feng W., Yu B., Peng T.","Security and Privacy for Sharing Electronic Medical Records Based on Blockchain and Federated Learning",2022,"Communications in Computer and Information Science",,"10.1007/978-981-19-0468-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126200230&doi=10.1007%2f978-981-19-0468-4_2&partnerID=40&md5=061803561d5679a09dc704b6e528acb2","The sharing of Electronic Medical records (EMRs) has great positive significance for research of disease and doctors’ diagnosis. However, patients’ EMRs are usually distributed in the databases of multiple medical institutions. Due to the insecurity of the network environment and distrust of other parties, EMR owners worry about data insecurity and privacy leakage, which makes sharing with other parties difficult. Patients worry about the loose control of their health data as well. To solve this problem, we present a solution for the EMRs data sharing based on blockchain and federated learning, which will provide data security and patients’ privacy. Firstly, we propose a method for EMRs data retrieval records and sharing records as transaction records adding to the blockchain, and design the two algorithm processes, respectively. Secondly, federated learning is used to help EMRs data owners to build a model based on the original data. The data owner only shares the model instead of the original data. Finally, by security and privacy analytics, we analyzed the advantages and influence of the proposed model. Overall, the evaluation shows that the proposed solution is significantly superior to the previous models and achieves reasonable efficiency for sharing EMRs data. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Blockchain; Electronic medical records; Federated learning; Privacy; Security sharing","Data privacy; Diagnosis; E-learning; Medical computing; Records management; Block-chain; Data Sharing; Federated learning; Health data; Medical institutions; Network environments; Privacy; Privacy leakages; Security and privacy; Security sharing; Blockchain",Conference Paper,"Final","",Scopus,2-s2.0-85126200230
"Abunadi I., Althobaiti M.M., Al-Wesabi F.N., Hilal A.M., Medani M., Hamza M.A., Rizwanullah M., Zamani A.S.","Federated Learning with Blockchain Assisted Image Classification for Clustered UAV Networks",2022,"Computers, Materials and Continua",20,"10.32604/cmc.2022.025473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125391843&doi=10.32604%2fcmc.2022.025473&partnerID=40&md5=756b522e3d73fa685e3b9775a24c3d4f","The evolving ""Industry 4.0"" domain encompasses a collection of future industrial developments with cyber-physical systems (CPS), Internet of things (IoT), big data, cloud computing, etc. Besides, the industrial Internet of things (IIoT) directs data from systems for monitoring and controlling the physical world to the data processing system. A major novelty of the IIoT is the unmanned aerial vehicles (UAVs), which are treated as an efficient remote sensing technique to gather data from large regions. UAVs are commonly employed in the industrial sector to solve several issues and help decision making. But the strict regulations leading to data privacy possibly hinder data sharing across autonomous UAVs. Federated learning (FL) becomes a recent advancement of machine learning (ML) which aims to protect user data. In this aspect, this study designs federated learning with blockchain assisted image classification model for clustered UAV networks (FLBIC-CUAV) on IIoT environment. The proposed FLBIC-CUAV technique involves three major processes namely clustering, blockchain enabled secure communication and FL based image classification. For UAV cluster construction process, beetle swarm optimization (BSO) algorithm with three input parameters is designed to cluster the UAVs for effective communication. In addition, blockchain enabled secure data transmission process take place to transmit the data from UAVs to cloud servers. Finally, the cloud server uses an FL with Residual Network model to carry out the image classification process. A wide range of simulation analyses takes place for ensuring the betterment of the FLBIC-CUAV approach. The experimental outcomes portrayed the betterment of the FLBIC-CUAV approach over the recent state of art methods. © 2022 Tech Science Press. All rights reserved.","Blockchain; Clustering; Federated learning; Image classification; Secure communication; UAV networks","Antennas; Cloud computing; Cryptography; Data privacy; Decision making; Embedded systems; Image classification; Internet of things; Learning systems; Monitoring; Network security; Remote sensing; Secure communication; Sensor nodes; Unmanned aerial vehicles (UAV); Block-chain; Cloud servers; Cloud-computing; Clusterings; Data clouds; Federated learning; Images classification; Industrial development; Unmanned aerial vehicle network; Vehicle network; Blockchain",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85125391843
"Chen Z., Cui H., Wu E., Yu X.","Dynamic Asynchronous Anti Poisoning Federated Deep Learning with Blockchain-Based Reputation-Aware Solutions",2022,"Sensors",4,"10.3390/s22020684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122865053&doi=10.3390%2fs22020684&partnerID=40&md5=c1daded0c4b874bb45b97d6341045551","As promising privacy-preserving machine learning technology, federated learning enables multiple clients to train the joint global model via sharing model parameters. However, inefficiency and vulnerability to poisoning attacks significantly reduce federated learning performance. To solve the aforementioned issues, we propose a dynamic asynchronous anti poisoning federated deep learning framework to pursue both efficiency and security. This paper proposes a lightweight dynamic asynchronous algorithm considering the averaging frequency control and parameter selection for federated learning to speed up model averaging and improve efficiency, which enables federated learning to adaptively remove the stragglers with low computing power, bad channel conditions, or anomalous parameters. In addition, a novel local reliability mutual evaluation mechanism is presented to enhance the security of poisoning attacks, which enables federated learning to detect the anomalous parameter of poisoning attacks and adjust the weight proportion of in model aggregation based on evaluation score. The experiment results on three datasets illustrate that our design can reduce the training time by 30% and is robust to the representative poisoning attacks significantly, confirming the applicability of our scheme. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Asynchronous; Federated machine learning; Poisoning attack; Privacy-preserving; Security","Deep learning; Efficiency; Parameter estimation; Privacy-preserving techniques; Asynchronoi; Block-chain; Federated machine learning; Global models; Machine learning technology; Modeling parameters; Multiple clients; Poisoning attacks; Privacy preserving; Security; Blockchain; human; machine learning; privacy; reproducibility; Blockchain; Deep Learning; Humans; Machine Learning; Privacy; Reproducibility of Results",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122865053
"Ma Q., Yang H., Wang D., Liu W., Guo S.","Supply Chain Credit Evaluation Mechanism Integrating Federated Learning and Blockchain",2022,"Lecture Notes in Electrical Engineering",1,"10.1007/978-981-16-6554-7_162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120087250&doi=10.1007%2f978-981-16-6554-7_162&partnerID=40&md5=525ee0003a7b2e06fe22914cacf4d9a2","Since the financing of small and medium-sized enterprises in the supply chain has been difficult to solve, more and more people have begun to pay attention to the field of supply chain finance. Federated learning, as a method that can effectively protect privacy, can also be effectively used in solving the financing problems of supply chain enterprises. At the same time, blockchain technology can effectively guarantee the credibility, openness and transparency of information, so this paper proposes a supply chain credit evaluation mechanism that integrates federated learning and blockchain. In this mechanism, we can ensure that the private data of supply chain enterprises can be used without going out of the local area, and we can also provide a blockchain record that guarantees the smooth progress of the financing process. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Blockchain; Credit evaluation; Federated learning; Supply chain","Blockchain; Finance; Block-chain; Credit evaluations; Federated learning; Local areas; Private data; Small and medium-sized enterprise; Supply chain finances; Supply chains",Conference Paper,"Final","",Scopus,2-s2.0-85120087250
"Jiang S., Wu J.","A reward response game in the blockchain-powered federated learning system",2022,"International Journal of Parallel, Emergent and Distributed Systems",2,"10.1080/17445760.2021.2004411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119692203&doi=10.1080%2f17445760.2021.2004411&partnerID=40&md5=1cc48ce7021df54a1fed560d1a39295c","This paper focuses on a mobile-crowd federated learning system that includes a central server and a set of mobile devices. The server, acting as a model requester, motivates all devices to train an accurate model by paying them based on their individual contributions. Each participating device needs to balance between the training rewards and costs for profit maximization. A Stackelberg game is proposed to model interactions between the server and devices. To match with reality, our model takes the training deadline and the device-side upload time into consideration. Two reward policies, i.e. the size-based policy and accuracy-based policy, are compared. The existence and uniqueness of Stackelberg equilibrium (SE) under both policies are analyzed. We show that there is a lower bound of 0.5 on the price of anarchy in the proposed game. We extend our model by considering the uncertainty in the upload time. We also utilize the blockchain technique to ensure a truthful, trust-free, and fair system. This paper also analyzes how devices maximize their utilities when making profits via training and blockchain mining in the fixed-upload-time setting. A blockchain-powered testbed is implemented, and experiments are conducted to validate our analysis. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","Blockchain technique; federated learning; incentive mechanism; mobile-crowd machine learning; price of anarchy; Stackelberg game","Machine learning; Profitability; Accurate modeling; Block-chain; Blockchain technique; Central servers; Federated learning; Federated learning system; Incentive mechanism; Mobile-crowd machine learning; Price of anarchy; Stackelberg Games; Blockchain",Article,"Final","",Scopus,2-s2.0-85119692203
"Sun J., Wu Y., Wang S., Fu Y., Chang X.","Permissioned Blockchain Frame for Secure Federated Learning",2022,"IEEE Communications Letters",6,"10.1109/LCOMM.2021.3121297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118279447&doi=10.1109%2fLCOMM.2021.3121297&partnerID=40&md5=b08519050e22a197bc80ff472e6b8d0a","Federated learning is an emerging technology that solves the privacy problem of training data in multi-party machine learning. However, this technology is vulnerable to a series of system security problems. In this letter, we leverage Hyperledger Fabric permissioned blockchain architecture to build a secure and reliable federated learning platform across multiple data owners, where individual local updates are encrypted based on threshold homomorphic encryption and then recorded on a distributed ledger. The security analysis shows that our solution can effectively deal with the existing privacy and security issues in the federated learning system. The numerical results show that the scheme is feasible and efficient. © 1997-2012 IEEE.","blockchain; Federated learning; homomorphic encryption; security and privacy","Cryptography; Data privacy; Distributed computer systems; Learning systems; Peer to peer networks; Block-chain; Collaborative Work; Federated learning; Ho-momorphic encryptions; Homomorphic-encryptions; Peer-to-peer computing; Privacy; Security; Security and privacy; Blockchain",Article,"Final","",Scopus,2-s2.0-85118279447
"Peng Z., Xu J., Chu X., Gao S., Yao Y., Gu R., Tang Y.","VFChain: Enabling Verifiable and Auditable Federated Learning via Blockchain Systems",2022,"IEEE Transactions on Network Science and Engineering",24,"10.1109/TNSE.2021.3050781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099598614&doi=10.1109%2fTNSE.2021.3050781&partnerID=40&md5=0bb4c050c568645709a81bc56d4b0c31","Advanced artificial intelligence techniques, such as federated learning, has been applied to broad areas, e.g., image classification, speech recognition, smart city, and healthcare. Despite intensive research on federated learning, existing schemes are vulnerable to attacks and can hardly meet the security requirements for real-world applications. The problem of designing a secure federated learning framework to ensure the correctness of training procedure has not been sufficiently studied and remains open. In this paper, we propose VFChain, a verifiable and auditable federated learning framework based on the blockchain system. First, to provide the verifiability, a committee is selected through the blockchain to collectively aggregate models and record verifiable proofs in the blockchain. Then, to provide the auditability, a novel authenticated data structure is proposed for blockchain to improve the search efficiency of verifiable proofs and support a secure rotation of committee. Finally, to further improve the search efficiency, an optimization scheme is proposed to support multiple-model learning tasks. We implement VFChain and conduct extensive experiments by utilizing the popular deep learning models over the public real-world dataset. The evaluation results demonstrate the effectiveness of our proposed VFChain system. © 2013 IEEE.","Auditable training; Blockchain; Federated learning; Model verification","Blockchain; Deep learning; Efficiency; Speech recognition; Artificial intelligence techniques; Authenticated data structures; Evaluation results; Intensive research; Learning frameworks; Optimization scheme; Security requirements; Training procedures; Learning systems",Article,"Final","",Scopus,2-s2.0-85099598614
"Feng L., Yang Z., Guo S., Qiu X., Li W., Yu P.","Two-Layered Blockchain Architecture for Federated Learning Over the Mobile Edge Network",2022,"IEEE Network",8,"10.1109/MNET.011.2000339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099529863&doi=10.1109%2fMNET.011.2000339&partnerID=40&md5=2444335c1e2296ce2d54f7242c09c784","Federated learning (FL) is seen as a road toward privacy-preserving distributed artificial intelligence while keeping raw training data on local devices. By leveraging blockchain, this article puts forward a blockchain and FL fusioned framework to manage the security and trust issues when applying FL over mobile edge networks. First, a two-layered architecture is proposed that consists of two types of blockchains: local model update chain (LMUC) assisted by device-to-device (D2D) communication and global model update chain (GMUC) supporting task sharding. The D2D-assisted LMUC is designed to chronologically and efficiently record all of the local model training results, which can help to form long-term reputations of local devices. The GMUC is proposed to provide both security and efficiency by preventing mobile edge computing nodes from malfunctioning and dividing them into logically isolated FL task-specific chains. Then a reputation-learning-based incentive mechanism is introduced to make participating local devices more trustful with a reward implemented by a smart contract. Finally, a case study is given to show that the proposed framework performs well in terms of FL learning accuracy and blockchain time delay. © 1986-2012 IEEE.",,"Artificial intelligence; Network architecture; Privacy by design; Deviceto-device (D2D) communication; Distributed Artificial Intelligence; Global modeling; Incentive mechanism; Layered architecture; Learning accuracy; Privacy preserving; Security and trusts; Blockchain",Article,"Final","",Scopus,2-s2.0-85099529863
"Yang M., Hu X., Zhang Q., Wei J., Liu W.","Federated learning scheme for mobile network based on reputation evaluation mechanism and blockchain",2021,"Chinese Journal of Network and Information Security",3,"10.11959/j.issn.2096-109x.2021083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131379373&doi=10.11959%2fj.issn.2096-109x.2021083&partnerID=40&md5=192f930163756996abd971616a07ee42","Federated learning is a new distributed machine learning technology, where training tasks are deployed on user side and training model parameters are sent to the server side. In the whole process, participants do not need to share their own data directly, which greatly avoids privacy issues. However, the trust relationship between mobile users in the learning model has not been established in advance, there is hidden safety when users perform cooperative train with each other. In view of the above problems, a federated learning scheme for mobile network based on reputation evaluation mechanism and blockchain was proposed. The scheme allowed the server side to use subjective logic models to evaluate the reputation of participating mobile users and provided them with credible reputation opinions sharing environment and dynamic access strategy interface based on the technique of smart contract of blockchain. Theoretical and experimental analysis results show that the scheme can enable the server side to select reliable users for training. And it can achieve more fair and effective reputation calculations, which improves the accuracy of federated learning. © 2021, Beijing Xintong Media Co., Ltd.. All rights reserved.","Blockchain; Federated learning; Mobile network; Reputation management",,Article,"Final","",Scopus,2-s2.0-85131379373
"Zhu J.-M., Zhang Q.-N., Gao S., Ding Q.-Y., Yuan L.-P.","Privacy Preserving and Trustworthy Federated Learning Model Based on Blockchain [基于区块链的隐私保护可信联邦学习模型]",2021,"Jisuanji Xuebao/Chinese Journal of Computers",4,"10.11897/SP.J.1016.2021.02466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121133209&doi=10.11897%2fSP.J.1016.2021.02466&partnerID=40&md5=ecb5f64d802933ed21131beb21d2d2aa","Intelligent edge computing based on federated learning has a wide application prospect in the field of Internet of Things (IoT). However, it is still faced with the dilemma of lacking enough data sources in the current practice of artificial intelligence. In this context, distributed machine learning aggregates edge devices' raw data into a parameter server for model training, but it easily leads to data privacy leakage and causes excessive storage overhead. In particular, federated learning (FL) is a distributed machine learning framework that stores data locally, which can effectively protect the data privacy of edge intelligent nodes. According to client settings, FL can be classified into two types: cross-device FL and cross-silo FL. In cross-device FL, a central entity acts as the central parameter server, which is also the owner of the global model. Meanwhile, the participating nodes as the clients to perform local training. In cross-silo FL, all participating nodes act as the clients to perform local training. In addition, they are also the owners of the global model and can make use of the trained global model. In this paper, we focus on cross-device FL, in which intelligence edge devices can provide model training services by sensing the raw data from IoT devices such as intelligence vehicles, smartphones etc. Most of the existing cross-device FL implements model aggregated by uploading the intermediate parameters of model training to the parameter server. There are two problems in this process. On the one hand, there is privacy leakage of intermediate parameters. The existing privacy protection schemes usually use differential privacy to add the noise on intermediate parameters, but excessive noise will reduce the quality of the global model. On the other hand, the training process of node self-interest and full autonomy may lead to malicious nodes uploading false parameters or low-quality models, thus affect the aggregation processes and model quality. In this paper, the centralized parameter server in federated learning is constructed as a decentralized parameter aggregation chain, and the intermediate parameters of the model training process recorded on the blockchain as evidence. Moreover, the cooperative nodes are encouraged to verify the model parameters and punish the participating nodes who upload false parameters or low-quality models so as to restrict their self-interest. In view of above challenges, we take the model quality as the metric to dynamically adjust privacy noise of intermediate parameters and propose a federated adaptive (FedAdp) model aggregation algorithm. The prototype development and experimental simulations show that the proposed FedAdp model aggregation algorithm can achieve higher accuracy of aggregation model when occur poisoning attack. By dynamically adjusting the Laplace random noise, it's realized the tradeoff between privacy protection and the accuracy error of the aggregation model. The experiment of blockchain performance confirmed that our scheme has good practicability. It is proved that the model can not only enhance the mutual trust between the participating nodes of federated learning, but also prevent the privacy disclosure of intermediate parameters, so as to realize the federated learning model with enhanced trust and privacy protection. © 2021, Science Press. All right reserved.","Blockchain; Consensus algorithm; Differential privacy; Federated learning; Intelligent edge computing","Digital storage; Internet of things; Learning algorithms; Machine learning; Mobile edge computing; Privacy-preserving techniques; Aggregation model; Block-chain; Consensus algorithms; Differential privacies; Edge computing; Federated learning; Global models; Intelligent edge computing; Model training; Privacy protection; Blockchain",Article,"Final","",Scopus,2-s2.0-85121133209
