Title,Abstract
Blockchain-Inspired Architectures for Attribute-Based Access Control and Zero Knowledge Proof-Based Data Privacy,… atop the Blockchain to address the data security and privacy concerns. We propose a blockchain and Zeroknowledge Proof inspired approach to provide the privacy-preserving traffic …
Data Privacy-Preserving of Consortium Blockchain in the Internet of Things,… blockchain prototype system to run the privacy-preserving mechanism designed in this paper. The effectiveness of the privacy … and data size of each algorithm in the privacypreserving …
A New Blockchain-based Electronic Medical Record Transferring System with Data Privacy,"… is widely used in data storage and sharing. This paper proposes a blockchain-based medical prescription system. At the same time, in order to effectively protect the privacy of patients, …"
Secure and Privacy-Preserving Data Computing Scheme Based on Blockchain for Double-Loop Governance of Smart Society,"… a blockchain-based multi-party data sharing and … blockchain into multiparty computations to achieve data sharing and computation under efficiently data privacy protection, and the data …"
Blockchain-Based Decentralized Privacy-Preserving Data Aggregation (BDPDA),"… blockchain-based data aggregation scheme is designed. Due to the transparency of data in blockchain, the privacy … third party while protecting the data privacy of the user’s smart meter. …"
Towards a Blockchain and Smart Contracts-Based Privacy Framework for Decentralized Data Processing,"… become essential to consider aspects like data privacy. Recently, blockchain technology has become more popular for applications that require strong privacy and security. Examples …"
Enhanced Privacy with Blockchain-based Storage for Data Sharing,"… encrypt the data that requires privacy using the key of the encrypted file and then uploads it to DHT for storage, so that the owner of the private data can further share the data securely. …"
Data Ownership Confirmation and Privacy-Free Search for Blockchain-Based Medical Data Sharing,… How to retrieve the required medical data while protecting privacy is the second problem to … of data ownership confirmation and propose a blockchain-based medical data sharing …
"Providing Anonymous Communication, Privacy-Preserving Data Aggregation and Dynamic Billing System in Smart Grid Using Permissioned Blockchain",… privacy-preserving dynamic billing and data aggregation scheme. Our scheme consists of permissioned blockchain … To protect the data privacy of a consumer from any internal/external …
Decentralizing Privacy-Preserving Data Aggregation Scheme Using Blockchain in Smart Grid,"… In recent years, a large number of privacy-preservation data … smart grid data aggregation scheme based on blockchain, which … while protecting the data privacy of the user’s smart meter. …"
Blockchain-based trusted sharing of electric energy privacy data,"… trade secrets, and data storage faces the risk of data tampering, duplication, … blockchain, we propose a trustworthy sharing scheme of electric energy privacy data based on blockchain …"
"Smart Contract Data Feed Framework for Privacy-Preserving Oracle System on Blockchain. Computers 2021, 10, 7","… blockchain-based applications and research such as cryptocurrency increase, an oracle problem to bring external data in the blockchain … supporting privacy protection for external data, …"
"APPLYING BLOCKCHAIN AND DISTRIBUTED LEDGER TO IMPROVE THE ACCESSIBILITY, SECURITY AND PRIVACY OF ELECTRONIC HEALTH DATA","… of health data. This thesis work, therefore, developed a platform that uses Blockchain … systems so as to facilitate a fast and secure data exchange, facilitating interoperability at the end. …"
"A survey on Blockchain-based applications for reforming data protection, privacy and security","… blockchain has the capability and potential to revolutionize trust, security and privacy of individual data … actual cases of Blockchain applied in the reformation of privacy and security field …"
Using NFT (Non-fungible tokens) and Zero Knowledge to enable privacy and traceability of data sharing on the Blockchain,Using NFT (Non-fungible tokens) and Zero Knowledge to enable privacy and traceability of data sharing on the Blockchain - Student Theses Faculty of Science and Engineering …
"A survey on Blockchain-based applications for reforming data protection, privacy and security.",
Towards secure and privacy-preserving data sharing for covid-19 medical records: A blockchain-empowered approach,"… , we propose a blockchain-empowered security and privacy protection … blockchain for uniform identity authentication and all public keys, revocation lists, etc are stored on a blockchain. …"
Analysis of using blockchain to protect the privacy of drone big data,… unit cryptosystem for encryption of blockchain data. Privacy analysis is provided to validate … proposed UAV big data privacy protection scheme based on blockchain technology has low …
CP-BDHCA: Blockchain-based Confidentiality-Privacy preserving Big Data scheme for healthcare clouds and applications,"… By introducing blockchain, we are auditing every transaction along with action performed on data. Authentication- Most of the blockchain platforms use public key infrastructure (typically …"
hOCBS: A privacy-preserving blockchain framework for healthcare data leveraging an on-chain and off-chain system design,"… Key features of OCBS’ are their ability to improve scalability, reduce data storage requirements, and enhance data privacy, all extremely critical issues to enable broader blockchain …"
Privacy protection for fog computing and the internet of things data based on blockchain,… a blockchain-based distributed access control system to maintain the IoT data privacy. In this … problems related to IoT data privacy as a result of its vulnerability to data leakage. Moreover…
Blockchain-enabled federated learning data protection aggregation scheme with differential privacy and homomorphic encryption in IIoT,"… data and privacy concerns for individual data, we design the novel blockchainenabled federated data … the dual protection of data privacy and model privacy by model sharing pattern. …"
Blockchain and homomorphic encryption-based privacy-preserving data aggregation model in smart grid,"… , data security and privacy are not considered while training a model. However, due to the presence of sensitive data, it is crucial that some systems preserve data privacy during model …"
Data security sharing model based on privacy protection for blockchain‐enabled industrial Internet of Things,"… a data security sharing model based on privacy protection (DSS-PP) for blockchain-enabled … stored in off-chain database of the blockchain, while only the ciphertext index information is …"
SPChain: blockchain-based medical data sharing and privacy-preserving eHealth system,… We propose a data sharing and privacy-preserving public blockchain system named SPChain. We use chameleon hash functions to design new block structures which provide whole …
Data privacy based on IoT device behavior control using blockchain,… to preserve privacy in a private area network using the blockchain technology. The objective … enables the data owner to control the IoT devices first by defining the privacy permission …
"Blockchain for Healthcare Systems: Challenges, Privacy, and Securing of Data","… electronic health records, data privacy, drug counterfeiting and … of data and privacy and security issues of data, as blockchain … Implementation of blockchain technology in the healthcare …"
A blockchain-based preserving and sharing system for medical data privacy,"… paper proposed a medical data information system model based on blockchain, Internet of … and sharing of medical data. The contributions and innovations of this work are as follows. …"
Edge blockchain assisted lightweight privacy-preserving data aggregation for smart grid,"… However, the performance of data aggregation is not improved through … blockchain and edge computing. In this paper, we integrate blockchain and edge computing techniques in data …"
Blockchain technologies towards data privacy—hyperledger sawtooth as unit of analysis,"… —data privacy and blockchain—are elaborated in Sect. 2. In Sect. 3, we discuss the characteristics forming the morphological box; as baseline, we use blockchain and data privacy …"
Blockchain implementation for privacy preserving and securing the healthcare data,"… by medical institutions, which leads to privacy leaks. We will design a medical data sharing and privacy-preserving eHealth framework based on blockchain technology. We combine the …"
Privacy protection of grid users data with blockchain and adversarial machine learning,"… addresses privacy violation of consumers’ energy usage data … for the privacy protection while allowing benefits of energy data … While the AMLODA-B model offers data privacy service, it …"
A Blockchain-Based Medical Data Sharing Mechanism with Attribute-Based Access Control and Privacy Protection,"… [3] are two commonly adopted techniques to protect data privacy. Comparing both, … In this paper, we propose a privacy-preserving scheme based on the blockchain for medical data …"
A data privacy protection scheme for Internet of things based on blockchain,"… of data privacy leakage currently facing the IoT, this article uses blockchain technology to … proposes a blockchain-based data privacy protection scheme for the IoT. This article uses …"
Privacy preserving in blockchain-based government data sharing: A Service-On-Chain (SOC) approach,"… an effective and feasible blockchain approach for cross-departmental privacy-preserving data sharing, … In addition, we combine the idea of computation migration to perform data privacy …"
MedShare: A Privacy-Preserving Medical Data Sharing System by Using Blockchain,"… to search and access EHR in a privacy-preserving manner. In … smart contract technique of blockchain to establish a trusted … in search result on the blockchain. Besides, we propose an …"
Privacy-preserving IoT data aggregation based on blockchain and homomorphic encryption,"… the design of a privacy-preserving system. To this end, we propose PrivDA, a Privacy-preserving IoT Data Aggregation scheme based on the blockchain and homomorphic encryption …"
Big Data Security and Privacy: A Taxonomy with Some HPC and Blockchain Perspectives,"… many challenges, such as privacy and security concerns. This paper discusses Big Data, its challenges, and different classifications of security and privacy challenges. Furthermore, it …"
A Privacy-Preserving Storage Scheme for Logistics Data with Assistance of Blockchain,"… privacy leakage. In this study, we propose a blockchain-assisted secure storage scheme for logistics data. … complete and reliable data privacy protection design. However, these existing …"
Blockchain-based privacy-preserving record linkage: enhancing data privacy in an untrusted environment,… ) Blockchain networks in order to provide auditability to PPRL. The Blockchain technology aims to provide shared data … The computations and the data sharing are possible due to an …
Blockchain Technology for Data Privacy Management,"… The maturity of blockchain technology and the establishment of its … privacy issues and challenges related to data-intensive technologies in the IoT, embracing the role of blockchain in all …"
A Systematic Review of Privacy-Preserving Healthcare Data Sharing on Blockchain,"… (PKI) and encryption are used for data privacy. Within the scope of this study, blockchainbased studies on the privacy preserving data sharing of health data were examined. In this paper…"
A Novel Blockchain and Bi-Linear Polynomial-Based QCP-ABE Framework for Privacy and Security over the Complex Cloud Data,"… Consequently, the key goal of the present contribution is to facilitate strict data privacy and security framework for cloud users’ data by combining the block chain technique with …"
Healthchain: A Privacy Protection System for Medical Data Based on Blockchain,"… in privacy protection. To solve these problems, this paper designs a medical data privacy protection system, which integrates blockchain… to realize reliable medical data sharing between …"
Privacy-Preserving multivariant regression analysis over blockchain-based encrypted IoMT data,… privacy issues of IoMT data at the time of training a linear regression model. Blockchain is … known as Paillier to protect all participant’s data privacy. To eliminate the territory on a third-…
"Blockchain, privacy, and data protection","… the blockchain-based payment system via Ethereum.This chapter will inquire whether blockchain respects the principles of data processing, and protects the rights of the data subjects …"
Privacy-enhancing distributed protocol for data aggregation based on blockchain and homomorphic encryption,"… data needs to be scrutinized by the processor, somewhat paradoxical in the context of data privacy… for not having a unified set of data privacy laws despite the huge quantity of global …"
Blockchain-Based Privacy-Preserving System for Genomic Data Management Using Local Differential Privacy,… a secure genomic data management system using blockchain and local differential privacy (LDP). The … Gene data privacy has received considerable research attention because gene …
CPDS: A Cross-Blockchain Based Privacy-Preserving Data Sharing for Electronic Health Records,"… data sharing and endanger patient privacy. To solve these problems, we propose an EHRs privacy protection data sharing scheme based on blockchain. … the hospital private blockchain. …"
Blockchain data privacy access control based on searchable attribute encryption,
Data Privacy-Preserving for Blockchain: State of the Art and Trends,"… of blockchain. Then we summarize the privacy-preserving problems faced by the blockchain … solutions based on the proposed concept of data privacy protection. Finally, some problems …"
Blockchain-based privacy-preserving medical data sharing scheme using federated learning,"… of data privacy when sharing medical data, we propose a medical data privacy protection framework based on blockchain (… , we protect privacy by adding differential privacy noise into …"
Blockchain-based Auditable Privacy-Preserving Data Classification for Internet-of-Things,"… To prevent the malicious data center/data processor while guaranteeing the utility and privacy of data, we propose blockchain-based auditable privacy-preserving data classification …"
A secure multi-party computation protocol for universal data privacy protection based on blockchain,"Abstract: Recent years, how to protect user privacy data on the blockchain reasonably and efficiently is a key issue in the current blockchain technology field. Based on this, in this paper…"
Privacy preservation for on-chain data in the permissionless blockchain using symmetric key encryption and smart contract,… data privacy. To deal with this issue we provide a privacy-preserving solution for permissionless blockchain to empower the user to take control of transaction data in the open ledger. …
Privacy preserving data mining as proof of useful work: Exploring an AI/Blockchain design,"… enterprise Blockchain space, is recognized as Faculty on the Blockchain Research Institute website, and is a pioneer of “on-chain” analytics. He is a consultant for Blockchain startups …"
Blockchain and artificial intelligence enabled privacy‐preserving medical data transmission in Internet of Things,… chain to attain privacy preservative distributed storing … or privacy of persons. Ivan 13 investigated the probability of using block chain as a storing method to protect medicinal data privacy…
Individual-Initiated Auditable Access Control for Privacy-Preserved IoT Data Sharing with Blockchain,"… and use of health data, we define the design requirements for a blockchainbased system and … CP-ABE key generation, data publication and data retrieval. We further compare this study …"
Blockchain Enabled Privacy Preserving Access Control for Data Publishing and Sharing in the Internet of Medical Things,… evaluation metrics among data publishers and data requesters. … and privacy-preserving data sharing among data publishers … blockchain enabled prototype to keep and validate privacy …
Implementation of a Secure and privacy-aware E-Health record and IoT data Sharing using Blockchain,"… instead we can use IPFS to store data and the hash from IPFS we will store in blockchain. Record personal data … The solution for data privacy, security of the health data could and is …"
Blockchain-Based Privacy Protection Scheme for IoT-Assisted Educational Big Data Management,… propose a blockchain-based access control scheme for the data … : (1) a well-implemented data collection module that is deployed … IoT data privacy in crowdsourcing with blockchain was …
A review of research on blockchain data privacy protection,
A novel personal privacy data protection scheme based on blockchain and attribute-based encryption [J],
Privacy Protection of Power Business Transaction Data Based on Blockchain Framework,
Blockchain-based knapsack system for security and privacy preserving to medical data (2021) in SN COMPUT,
Overview of Blockchain Data Privacy Protection,"… of blockchain. In this paper, the basic principle of blockchain technology, data privacy threats, data privacy protection methods, and the future of blockchain data privacy protection are …"
Enhancing data privacy through a decentralised predictive model with blockchain-based revenue,… a decentralised approach to enhance data privacy in AI training … on providing privacy for shared storage in a public blockchain … Both schemes are relying on blockchain technology along …
Secular: A decentralized blockchain-based data privacy-preserving model training platform,"… However, one of their biggest challenges is how to maintain the security and privacy of the given dataset. Besides, Blockchain is one of the most discussed technologies of our time. It …"
How Blockchain and AI Enable Personal Data Privacy and Support Cybersecurity,… for protecting and securing personal data. Decentralized and federated … blockchain-based privacy solutions by enabling users to better manage their data and by ensuring that data …
Blockchain-Based Data Market (BCBDM) Framework for Security and Privacy: An Analysis,"… of data sharing, complex issues such as data privacy and ownership are emerging. Blockchain is a decentralized distributed data … The introduction of blockchain can eliminate the …"
Towards Achieving Personal Privacy Protection and Data Security on Integrated E-Voting Model of Blockchain and Message Queue,"… Despite these advantages, blockchain brings in new challenges regarding system performance and data privacy. Due to distributed nature of blockchain, any new updating request …"
Where is our data? A blockchain-based information chain of custody model for privacy improvement,"… This fast dissemination of information raises concerns about data privacy. It is necessary to identify everything that happens to our information for privacy is guaranteed [1], [2]. Privacy …"
BPT: a blockchain based privacy information preserving system for trust data collection over distributed mobile edge network,"… for data collectors. Thirdly, we enforce … privacy on the data stored in global blockchain maintained by the cloud server to protect privacy for data collectors without influencing data …"
"Exploiting Zero Knowledge Proof and Blockchain Towards the Enforcement of Anonymity, Data Integrity and Privacy (ADIP) on IoT",… Data integrity and protection against sybil and IoT spoofing attacks were maintained via blockchain. Our threats analysis models showed that data modification and data injections …
A Survey on Data privacy and preservation using Blockchain in Healthcare organization,… for efficient storage leads to Blockchain as storage. The dominant Blockchain storage stored a large amount of health data with a shared key to encrypt the data to access it. The …
A Decentralized Identity-Based Blockchain Solution for Privacy-Preserving Licensing of Individual-Controlled Data to Prevent Unauthorized Secondary Data Usage,"… On the other hand, how to consume data while being able to protect data privacy and … challenge in data science today. Confidential computing was born to solve this problem.A privacy-…"
Lightweight blockchain to solve forgery and privacy issues of vehicle image data,"… (1) Blockchain size problem: Blockchain is a decentralized data … blockchain ledger. Because of this, all nodes must store the same … (3) Data privacy problem: In the blockchain, data is …"
Blockchain-Enabled and Data-Driven Smart Healthcare Solution for Secure and Privacy-Preserving Data Access,"… , the patient’s data are stored on the cloud rather than in the blockchain. The reason is that storing the data on the blockchain implies replication of potentially voluminous data, which is …"
Privacy-Preserving Data Sharing Scheme with FL via MPC in Financial Permissioned Blockchain,"… secure data sharing for distributed banks in privacy. To prevent from connection of clients’ data and … In this paper, we first propose blockchain-empowered secure federated learning for …"
A Privacy-Preserving Data Transmission Scheme Based on Oblivious Transfer and Blockchain Technology in the Smart Healthcare,"… erefore, our goals are to protect user privacy and guarantee the security of data transmission based on OT and blockchain technology under the smart healthcare environment. To …"
IoT Solution for AI-Enabled PRIVACY-PREServing with Big Data Transferring: An Application for Healthcare Using Blockchain,"… blockchain, which is an emerging technology [20,21] to improve the performance of the healthcare system against security extortions with efficient data … and guaranteed data privacy. …"
HDM-Chain: A Secure Blockchain-based Healthcare Data Management framework to ensure Privacy and Security in the Health Unit,"… globally, but at PHRs data is ruled to essential safety and privacy concerns. This paper … Blockchain(BC) resolves the preceding difficulties from it shares data in a decentralized and …"
A blockchain solution for the privacy of patients' medical data,"… , and usage of blockchain technology to preserve the sensitive medical data of patients. A … The major problem with data sharing is its authenticity, data privacy, and security. Many …"
Blockchain-based Knapsack System for Security and Privacy Preserving to Medical Data.,
Technology Review of Blockchain Data Privacy Solutions,… This objective of this report is to review existing enterprise blockchain technologies - EOSIO … - that provide data privacy while leveraging the data integrity benefits of blockchain. By …
A Regulatable Data Privacy Protection Scheme for Energy Transactions Based on Consortium Blockchain,"… issues in the energy transaction scenario based on the consortium blockchain, this paper proposes a supervisable energy transaction data privacy protection scheme. is scheme …"
IoT Data Privacy Protection Scheme based on Blockchain,"… the blockchain technology and proposes a blockchainbased IoT sensor data privacy protection scheme from the anonymisation of user identity, the protection of private data and the …"
DS2PM: A Data Sharing Privacy Protection Model Based on Blockchain and Federated Learning,"… By studying data sharing models that are based on blockchain, … the privacy and integrity of users’ data, along with users’ data … the data privacy problem in the previously established data …"
Data Privacy Protection of Industrial Blockchain,"… Therefore, the blockchain data privacy protection scheme proposed in this paper does not … fault detection blockchain when executing the upload data request. (2) Access data request …"
Research on Privacy Data Protection Based on Trusted Computing and Blockchain,"… privacy data protection methods, a privacy data protection method based on trusted computing and blockchain … protocol, combined with the blockchain technology, the ECC elliptic curve …"
A Privacy-Preserving Vehicular Data Sharing Framework atop Multi-Sharding Blockchain,"… can not only strengthen system security and data privacy, but also increase the data authenticity verification efficiency by 5x comparing to existing privacy-preserving schemes. …"
Protecting privacy and promoting learning: blockchain and privacy preserving technology should inform new ethical guidelines for health data,… for data-driven research. In this piece we discuss how blockchain technology and privacy preserving forms … Health data privacy is especially vulnerable in light of significant advances in …
BlockTorrent: A Blockchain Enabled Privacy-Preserving Data Availability Protocol for Multi-stakeholder Scenarios,"… While this approach ensures data privacy, it impacts the accessibility of the data. … blockchainbased data management protocol, enhances data availability while protecting the privacy …"
"A Review on Data Privacy Detection in Social Networks using Data Mining, Machine Learning and Blockchain technologies","… of Data Privacy Detection methods applied in Social Networks using combinational analysis of multiple areas like Data Mining, Machine Learning, and Blockchain … of Data Privacy …"
Privacy Protection Data Retrieval Scheme with Inverted Index for IoT based on Blockchain,"… still privacy and efficiency issues if the traditional ABKS schemes are directly used in blockchain data sharing. In order to solve the problems, this paper proposes privacy protection data …"
Protection Method of Network Data Privacy Security Issues Based on Blockchain Technology,"… data leakage [9, 10]. This article applies blockchain technology to cloud computing data … , combining the respective advantages of blockchain and cloud computing, and constructs an …"
A Data Privacy Approach Using Shamir's Secret Scheme in Permissioned Blockchain,"… Blockchain faces serious issues with data privacy, which is an obstacle for the application of the blockchain… sharing (SSS) system to the blockchain. The proposal resists passive and …"
16 Blockchain Technology for Healthcare Cloud-Based Data Privacy and Security,… quantum computing-derived data seems to be an inherent part of blockchain’s evolution… blockchain safety [18]. Quantum computing can expand deciphering the encryption of blockchain…
Research on Blockchain Privacy Protection of Enterprise Internal Control Evaluation in the Big Data Era,"… Because when data is stored in the blockchain, … blockchain layer, the cloud storage layer, the data layer, and the user layer. Network data privacy protection model based on blockchain …"
Research on the control of user privacy data disclosure based on blockchain Technology,"… privacy data leakage control based on blockchain technology. Firstly, the asymmetric encryption algorithm in blockchain … improve the accuracy of user data privacy control, which is of …"
Software Defined Networking and Network Function Virtualization for improved data privacy using the emergent blockchain in banking systems,"… a novel data privacy policy based on blockchain divided into three parts: a data privacy classification method, a modern collaborative-filteringbased model, and a data disclosure …"
Blockchain-Based Electronic Health Records Sharing Scheme with Data Privacy Verifiable,"… To fulfill the needs for blockchain in shared EHR systems, we propose a blockchain-based security scheme for sharing EHRs to preserve patient's privacy and ensure data integrity. …"
"A study on application of blockchain technology to control counterfeit drugs, enhance data privacy and improve distribution in online pharmacy",… Blockchain technology is no exception in providing the solution to eliminate the counterfeit … Blockchain technology can ensure data privacy while improving supply chain transparency …
A Blockchain-Integrated Divided-Block Sparse Matrix Transformation Differential Privacy Data Publishing Model,"… the traditional differential privacy algorithm with the same privacy parameters, … blockchain and propose an Efficient Privacy Data Publishing and Sharing Model based on the blockchain…"
A Blockchain-based Data Governance Framework with Privacy Protection and Provenance for e-Prescription,"… , privacy protection, and consent management. We introduce a decentralized data governance framework based on blockchain … -encryption technique to ensure data privacy. In this way, …"
A Framework Of Big Data As Service Platform For Access Control & Privacy Protection Using Blockchain Network,… and data privacy. In this paper we have proposed a framework for an access control with privacy protection in BDaaS based on blockchain technology. Here blockchain technology is …
Privacy Protection Model for Blockchain Data Sharing Based on zk-SNARK,"… blockchain such as data privacy protection of the blockchain, … Based on the blockchain data sharing model using CP-ABE … to propose a blockchain data sharing privacy protection model …"
Towards a Blockchain and Smart Contracts-Based Privacy Framework for Decentralized Data Processing,"… In this section, we explain our proposed framework, the blockchain-based privacy framework for data processing applications, which uses smart contracts to provide data privacy in data …"
Privacy-Enhanced Crowdsourcing Data Trading based on Blockchain and Stackelberg Game,"… based on blockchain to protect the data copyright of the whole data trading. By leveraging homomorphic encryption, our copyright protection scheme is easy for finding the data pirates …"
Lightweight-blockchain based privacy-preserving data aggregation for epidemic disease surveillance,"… , which can aggregate data without relying on a trusted third party. Especially, to protect data privacy in the data aggregation process, the case count data is aggregated based on the …"
Sustainable and Effective Blockchain-based Solutions for the Security and Privacy of Healthcare Data,"… and privacy challenges. In the present situations, blockchain technology is the greatest pervasive, emerging, sustainable, and growing technology in the security and data privacy area …"
"Confidentiality, integrity, and accountability: a novel patient-centric blockchain approach to establish CIA principles and healthcare data privacy","… blockchain with laws and regulations is narrowed down to GDPR compliance. In this research, we conduct a comprehensive survey on blockchain … barriers the blockchain technology is …"
Blockchain-based Privacy-preserving Fair Data Trading Protocol,"… information about the tradings on the public blockchain. In this paper, we … privacy to the participants. We introduce new security notions for privacypreserving blockchain-based fair data …"
DATA PROTECTON AND PRIVACY PRESERVING USING BLOCKCHAIN IN HEALTHCARE,"… The proposed work discusses the security and the privacy of health data using blockchain … of the health data. Due to the sensitivity of patient data, preserving the privacy of patients …"
Data Security and Privacy-Preserving Framework Using Machine Learning and Blockchain in Big-Data to Data Middle Platform in the Era of IR 4.0,"… and the Blockchain. In this research, the researcher reviews the security and privacy-preventing in Big-Data, … Big data privacy: a technological perspective and review. Journal of Big …"
A Blockchain-based Electric Data Sharing System with Privacy Protection,"… energy data sharing system based on blockchain, to make sure that each electric user’s individual data is not visible on the blockchain… D2D data privacy protection mechanism based on …"
Security and Privacy Concerns for Blockchain While Handling Healthcare Data,"… of data in e-health systems. In this chapter, we present a systematic review of the … blockchain-based approaches for e-health systems with focus on e-health system security and …"
Reliable and Privacy Preserving Blockchain Based Medical Data Sharing Digital Ledger,… reliable and privacy preserving blockchain based data sharing … blockchain based medical data sharing digital record. Since traditional Proof of Stake lacks in security and data privacy …
Differential Privacy-Based Permissioned Blockchain for Private Data Sharing in Industrial IoT,… a differential privacy-based permissioned blockchain using Hyperledger fabric to enable private data sharing in supply chain in IIoT (DH-IIoT). We integrate differential privacy into the …
"IoT Solution for AI-Enabled PRIVACY-PREServing with Big Data Transferring: An Application for Healthcare Using Blockchain. Energies 2021, 14, 5364","… blockchain, which is an emerging technology [20,21] to improve the performance of the healthcare system against security extortions with efficient data … guaranteed data privacy. The …"
A Privacy-Preserving Medical Data Traceability System Based on Attribute-Based Encryption on Blockchain,"… However, the data privacy issues contained in medical data are … data and the high risk of sensitive data leakage, this paper proposes a scheme based on the combination of blockchain …"
Exploiting the Medical Data Storage Implementation and Privacy Protection with Consortium Blockchain and IPFS,… of medical data storage model with consortium blockchain and IPFS. We will mainly focus on privacy protection and data sharing mechanism in medical data storage process. The rest …
MediBlock-A Privacy-aware Blockchain to store patients data and effective diagnosis methods,… This research presents a privacy-aware Blockchain for medical data sharing that proposes a … for data privacy inside a Blockchain. Healthcare data should be stored on Blockchain in …
Towards Efficient Co-audit of Privacy-Preserving Data on Consortium Blockchain via Group Key Agreement,… We introduce the schemes of auditable privacy-preserving data on consortium blockchain as well as the development of group key agreement technologies in Section 2. Section 3 …
A Decentralized Privacy-Preserving Blockchain for IoT and Big Data in Healthcare Applications,"… Blockchain generation is an appropriate driver to offer new insights and addresses … data management remains a significant barrier in its implementation. In this chapter, new blockchain …"
Privacy Preserving System and Data Integrity Using Distributed Hash Table in Blockchain,… The recommended elective is a system that executes the idea of blockchain and edge figuring to store … “Medibchain: a blockchain based privacy preserving platform for healthcare data.” …
Blockchain: A Security Component for Data Security and Privacy—Current Trends in the Automotive Industry,… Blockchain is said to be a rising … blockchain technology seems to be recent current trend of each greatest latest technology that will benefit the auto sector by improving knowledge data …
Security and privacy in medical data sharing through blockchain,"… of data and services, identity anonymity, data anonymity and unlinkability. With the emergence of blockchain … a secure and trusted medical data sharing system across different institutes, …"
ITreatU: An Effective Privacy and Security Solution for Healthcare Data Using the R3 Corda Platform of Blockchain Technology,… field of healthcare privacy using blockchain and develop an interoperable and secure solution using blockchain technology. It discusses some of the state-of-art privacy-preserving proof …
Security and privacy-preserving of data in mobile health systems: an approach based on non-interactive zero-knowledge proof and blockchain,"… is no privacy in the standard public blockchain, this work presents a scheme in which the data … However, there is no data privacy in the standard blockchain environment on transactions …"
A Blockchain-based Data Governance Framework with Privacy Protection and Provenance for e-Prescription,"… provenance, privacy protection, and … data governance framework based on blockchain technology and proxy re-encryption to let data owners control and track their data through privacy-…"
TREAD-Privacy Preserving Incentivized Connected Vehicles Mobility Data Storage on IPFS-Enabled Blockchain,"Trajectory data from Connected Vehicles (CVs) and other micro-mobility sources such as e-scooters, bikes and pedestrians is important for researchers, policy makers and other …"
Data Privacy and the Vision of a Blockchain Enabled Healthcare,Data Privacy and the Vision of a Blockchain Enabled Healthcare … Data Privacy and the Vision of a Blockchain Enabled Healthcare …
Analysis of Using Blockchain to Protect the Privacy of Drone Big Data,
"Blockchain and Public Law: Blockchain, Privacy, and Data Protection","Blockchain and Public Law: Blockchain, Privacy, and Data Protection — Vrije Universiteit Brussel … Blockchain and Public Law … in Blockchain and Public Law: Blockchain, Privacy …"
… malattie rare: dal paradosso della privacy al trattamento dei dati in modo sicuro.= Blockchain for the management of rare diseases: from privacy paradox to safe data …,"… analizza il fenomeno del paradosso della privacy, basato su bias … Successivamente, viene introdotta la blockchain come … riportato il funzionamento delle blockchain pubbliche, tra cui la …"
Blockchain-based privacy-preserving and rewarding private data sharing for IoT,… [34] constructed a large-scale health data privacy-preserving chain (named healthchain) to … 1) We propose a privacy-preserving incentive private data sharing scheme on the blockchain …
Blockchain-based verifiable privacy-preserving data classification protocol for medical data,… It makes the data center check the classification result … privacy-preserving data classification protocol in blockchain … it on blockchain to guarantee the transparency of data classification. …
Blockchain-Integrated Internet-of-Things Architecture in Privacy Preserving for Large-Scale Healthcare Supply Chain Data,"… However, implementing blockchain technology in IoT-based data communication networks … -related issues in the context of a HIS consisting of IoT-based blockchain technology. …"
Enterprise data sharing with privacy-preserved based on hyperledger fabric blockchain in IIOT's application,"… in data privacy, data protection, and data traceability, … of data to increase the scalability of the blockchain network and use digital signature technology to ensure the authenticity of data. …"
A framework for privacy-preservation of IoT healthcare data using Federated Learning and blockchain technology,"… This case study provides the privacy-preserving by blockchain and federated learning to smart healthcare. An exemplary overview of the case study is shown in Fig. 3, and the protocol …"
"Cybersecurity, Data Privacy and Blockchain: A Review","… utilising Blockchain technology. The challenges indicated are Cybersecurity and Data privacy in … Additional challenges are set out supported by literature, in researching data security …"
Scalable blockchain model using off-chain IPFS storage for healthcare data security and privacy,… using blockchain for data privacy and … data using IPFS saves blockchain structure from scalability issues. Further the proposal for blockchain integration with IPFS helps preserve privacy …
An intelligent and privacy-enhanced data sharing strategy for blockchain-empowered Internet of Things,"… the data privacy of data owners [6]. As a distributed shared ledger and database, the blockchain [7,… reliable technical supports for the privacy protection of data sharing. For example, the …"
Medical blockchain: Data sharing and privacy preserving of EHR based on smart contract,"… In Section 4.3.1, we explain the achievements of the new method in terms of data privacy … Data privacy discussion complying with HIPAA regulation To confirm the data privacy of patient, …"
Blockchain-based privacy preserving e-health system for healthcare data in cloud,"… solutions mentioned above do not take into account the protection of patients’ data privacy. … on blockchain has proved to be secure and immutable, we aim to utilize the blockchain …"
Blockchain-enabled Privacy Preserving of IoT Data for Sustainable Smart Cities using Machine Learning,"… blockchain methods to construct a reliable and secure datasharing policy between numerous data … -preserving SVM training system, which attempted data integrity and data privacy …"
A novel logistics data privacy protection method based on blockchain,"… access rights to different data, to achieve the purpose of data privacy protection. The traditional … with blockchain, we can rely on the decentralized nature of blockchain to make the data …"
Blockchain-Based Distributed Information Hiding Framework for Data Privacy Preserving in Medical Supply Chain Systems,"… the required privacy levels. In this paper, we propose the implementation of Blockchain and … technique to enhance the security and privacy of data communication in critical systems, …"
